dialog_id,total_turns,has_risk,first_risk_turn
label_depression_1_check_D011.json,466,0,
label_depression_1_check_D080.json,403,0,
label_depression_1_check_D081.json,198,0,
label_depression_1_check_D082.json,162,0,
label_depression_2_check_D001.json,139,0,
label_depression_2_check_D011.json,283,0,
label_depression_2_check_D081.json,195,0,
label_depression_2_check_D082.json,250,0,
label_depression_3_check_D001.json,181,0,
label_depression_3_check_D080.json,243,0,
label_depression_3_check_D081.json,288,0,
label_depression_4_check_D011.json,361,0,
label_depression_4_check_D031.json,200,0,
label_depression_4_check_D080.json,207,0,
label_depression_5_check_D011.json,308,0,
label_depression_6_check_D001.json,261,0,
label_depression_6_check_D011.json,345,0,
label_depression_6_check_D021.json,237,0,
label_depression_6_check_D031.json,271,0,
label_depression_6_check_D080.json,307,0,
label_depression_7_check_D011.json,361,0,
label_depression_7_check_D031.json,233,0,
label_depression_7_check_D082.json,181,0,
label_depression_8_check_D001.json,163,0,
label_depression_8_check_D011.json,263,0,
label_depression_8_check_D031.json,145,0,
label_depression_10_check_D082.json,70,0,
label_anxiety_1_check_X011.json,253,0,
label_anxiety_1_check_X031.json,261,0,
label_anxiety_1_check_X060.json,463,0,
label_anxiety_2_check_X011.json,775,0,
label_anxiety_2_check_X021.json,340,0,
label_anxiety_3_check_X011.json,222,0,
label_anxiety_3_check_X031.json,298,0,
label_anxiety_3_check_X060.json,260,0,
label_anxiety_4_check_X011.json,367,0,
label_anxiety_4_check_X021.json,257,0,
label_anxiety_5_check_X021.json,206,0,
label_anxiety_5_check_X031.json,243,0,
label_anxiety_5_check_X063.json,286,0,
label_anxiety_6_check_X001.json,206,0,
label_anxiety_6_check_X011.json,252,0,
label_anxiety_6_check_X060.json,218,0,
label_anxiety_6_check_X063.json,387,0,
label_anxiety_7_check_X001.json,427,0,
label_anxiety_7_check_X063.json,502,0,
label_anxiety_8_check_X001.json,353,0,
label_anxiety_8_check_X011.json,236,0,
label_anxiety_8_check_X060.json,579,0,
label_anxiety_8_check_X063.json,362,0,
label_addiction_1_check_A007.json,369,0,
label_addiction_1_check_A012.json,218,0,
label_addiction_1_check_A013.json,392,0,
label_addiction_1_check_A015.json,230,0,
label_addiction_2_check_A007.json,231,0,
label_addiction_2_check_A010.json,235,0,
label_addiction_2_check_A012.json,197,0,
label_addiction_2_check_A013.json,330,0,
label_addiction_2_check_A015.json,263,0,
label_addiction_3_check_A013.json,308,0,
label_addiction_3_check_A015.json,276,0,
label_addiction_3_check_A019.json,278,0,
label_addiction_4_check_A001.json,664,0,
label_addiction_4_check_A013.json,234,0,
label_addiction_4_check_A015.json,260,0,
label_addiction_5_check_A010.json,473,0,
label_addiction_5_check_A012.json,272,0,
label_addiction_5_check_A013.json,315,0,
label_addiction_5_check_A015.json,260,0,
label_addiction_5_check_A019.json,286,0,
label_addiction_6_check_A002.json,215,0,
label_addiction_6_check_A013.json,297,0,
label_addiction_6_check_A015.json,249,0,
label_addiction_7_check_A002.json,255,0,
label_addiction_7_check_A013.json,316,0,
label_addiction_7_check_A015.json,366,0,
label_addiction_7_check_A019.json,270,0,
label_addiction_8_check_A012.json,310,0,
label_addiction_8_check_A015.json,257,0,
label_addiction_8_check_A019.json,284,0,
label_normal_1_check_N025.json,329,0,
label_normal_2_check_N021.json,156,0,
label_normal_3_check_N021.json,84,0,
label_normal_3_check_N025.json,351,0,
label_normal_4_check_N025.json,422,0,
label_normal_5_check_N021.json,151,0,
label_normal_5_check_N025.json,287,0,
label_normal_6_check_N021.json,238,0,
label_normal_6_check_N025.json,170,0,
label_normal_7_check_N021.json,126,0,
label_normal_8_check_N011.json,539,0,
label_normal_8_check_N021.json,84,0,
